Id,SalePrice
1461,121614.26
1462,148750.4
1463,186518.25
1464,189248.31
1465,188752.2
1466,182371.25
1467,165197.84
1468,170292.2
1469,183181.3
1470,120073.35
1471,206321.36
1472,96803.586
1473,112278.414
1474,153003.44
1475,138623.89
1476,447469.66
1477,262142.0
1478,318994.72
1479,246276.75
1480,474388.06
1481,320344.53
1482,206887.02
1483,168418.92
1484,167983.7
1485,172348.08
1486,200868.72
1487,373183.06
1488,238108.86
1489,221291.12
1490,216967.88
1491,186768.34
1492,86562.125
1493,201083.53
1494,280739.4
1495,296778.78
1496,258962.75
1497,189030.62
1498,161060.03
1499,159061.52
1500,140918.8
1501,183533.14
1502,156857.44
1503,341770.2
1504,232379.92
1505,220212.6
1506,192123.69
1507,232004.08
1508,212929.17
1509,168932.52
1510,148707.73
1511,147987.95
1512,165646.83
1513,155673.56
1514,176198.73
1515,192924.56
1516,174155.81
1517,159652.94
1518,124208.88
1519,223656.62
1520,139063.3
1521,145798.83
1522,172075.58
1523,107294.375
1524,123251.95
1525,129829.734
1526,120815.836
1527,97109.89
1528,127496.15
1529,144665.69
1530,174741.88
1531,94258.12
1532,110028.3
1533,145486.9
1534,114315.664
1535,156709.02
1536,122684.65
1537,86354.1
1538,191181.45
1539,145994.2
1540,114333.28
1541,156877.81
1542,150722.11
1543,226394.3
1544,82829.59
1545,112145.12
1546,122833.96
1547,144938.3
1548,139339.38
1549,113122.61
1550,152645.44
1551,105948.586
1552,148082.81
1553,149789.4
1554,121720.266
1555,171807.44
1556,90847.68
1557,110291.95
1558,87382.75
1559,95587.76
1560,131643.64
1561,147724.45
1562,125584.23
1563,116831.96
1564,159908.02
1565,146858.61
1566,216150.08
1567,77789.77
1568,232502.84
1569,134386.56
1570,122065.1
1571,136351.84
1572,149769.62
1573,237826.9
1574,116382.22
1575,207033.62
1576,241369.45
1577,206954.69
1578,155702.56
1579,144639.11
1580,191340.97
1581,151708.81
1582,128113.66
1583,331725.4
1584,232151.11
1585,141733.33
1586,69149.85
1587,96590.73
1588,153617.61
1589,97066.68
1590,124780.71
1591,97319.57
1592,123408.51
1593,129328.97
1594,150514.16
1595,113771.734
1596,249388.5
1597,172146.83
1598,205662.84
1599,225038.75
1600,183712.42
1601,68970.16
1602,110252.555
1603,95056.64
1604,274724.4
1605,255990.69
1606,169492.8
1607,159120.8
1608,214793.16
1609,204706.08
1610,164890.61
1611,141630.94
1612,154898.75
1613,169212.3
1614,124234.84
1615,86541.11
1616,84081.25
1617,92394.34
1618,132468.47
1619,133732.28
1620,179166.78
1621,130780.484
1622,144422.27
1623,286927.06
1624,233298.06
1625,129516.96
1626,169002.3
1627,179106.52
1628,274857.56
1629,183521.34
1630,340864.88
1631,228863.31
1632,250621.98
1633,171070.56
1634,184609.23
1635,170823.98
1636,156097.31
1637,166180.95
1638,209319.19
1639,176946.02
1640,232174.58
1641,179960.31
1642,221116.4
1643,227577.19
1644,242966.11
1645,188729.81
1646,155299.66
1647,162956.16
1648,128092.11
1649,138754.23
1650,121414.83
1651,115150.016
1652,101262.83
1653,105034.96
1654,156288.69
1655,156359.19
1656,144981.16
1657,157063.61
1658,151029.28
1659,148565.58
1660,150178.97
1661,451337.4
1662,420650.44
1663,404071.28
1664,465541.88
1665,324673.7
1666,313707.2
1667,389955.8
1668,325409.8
1669,280772.03
1670,338303.47
1671,254589.78
1672,484231.7
1673,279453.9
1674,260374.64
1675,192240.16
1676,197533.22
1677,232472.4
1678,461094.03
1679,361413.1
1680,331996.53
1681,252501.7
1682,280308.2
1683,178489.94
1684,168440.3
1685,180401.33
1686,165203.19
1687,170450.97
1688,184493.56
1689,184595.67
1690,184048.0
1691,178805.88
1692,320187.9
1693,164964.62
1694,188503.12
1695,170371.25
1696,245533.38
1697,178879.17
1698,342562.53
1699,336296.34
1700,252396.16
1701,263167.2
1702,240168.58
1703,243257.19
1704,272748.0
1705,250011.7
1706,472845.4
1707,234232.98
1708,225601.16
1709,258585.05
1710,236466.28
1711,256168.84
1712,209772.27
1713,257349.89
1714,231912.67
1715,216387.3
1716,181768.92
1717,175215.52
1718,136139.69
1719,207184.84
1720,264319.47
1721,168282.03
1722,131072.28
1723,157305.16
1724,213349.56
1725,230758.86
1726,190915.72
1727,164451.31
1728,186796.1
1729,162118.6
1730,164967.31
1731,119479.55
1732,129784.695
1733,122590.44
1734,111773.98
1735,136206.03
1736,109099.766
1737,327761.75
1738,224844.3
1739,242691.2
1740,236987.0
1741,196661.6
1742,177313.97
1743,175217.36
1744,305379.12
1745,232046.62
1746,261162.23
1747,212495.06
1748,208080.03
1749,152999.05
1750,140555.56
1751,232156.34
1752,125945.47
1753,143021.42
1754,193089.3
1755,168373.47
1756,122809.85
1757,122614.71
1758,132744.2
1759,178392.02
1760,159762.64
1761,140244.8
1762,152771.34
1763,164063.27
1764,112204.53
1765,164886.33
1766,169257.34
1767,211718.88
1768,152059.45
1769,165969.64
1770,140646.17
1771,144411.31
1772,146946.86
1773,140605.7
1774,117088.9
1775,143678.64
1776,127016.0
1777,117344.875
1778,142735.73
1779,124771.336
1780,181996.14
1781,135469.67
1782,85758.86
1783,125683.92
1784,93585.5
1785,120954.05
1786,145963.45
1787,188050.22
1788,52062.77
1789,102574.78
1790,81194.21
1791,202403.34
1792,169634.73
1793,139132.47
1794,145925.17
1795,140709.52
1796,137310.1
1797,121351.766
1798,124814.27
1799,122866.086
1800,137758.78
1801,129668.805
1802,158666.25
1803,157297.14
1804,143360.47
1805,135237.75
1806,114348.11
1807,112830.734
1808,111017.79
1809,123943.81
1810,153935.02
1811,109853.266
1812,112584.67
1813,123250.71
1814,96982.58
1815,53940.42
1816,100032.47
1817,145408.27
1818,134318.55
1819,108574.1
1820,78273.52
1821,120284.97
1822,170172.78
1823,53702.707
1824,144384.77
1825,136859.86
1826,101036.84
1827,101216.805
1828,139343.73
1829,111904.84
1830,141046.03
1831,143721.55
1832,99459.72
1833,152582.22
1834,128027.32
1835,145644.28
